Time [s],Channel 2
0.902858000,0
0.902866000,1
0.902906000,0
0.902914000,1
0.902988000,0
0.902996000,1
0.903024000,0
0.903032000,1
0.903072000,0
0.903082000,1
0.903334000,0
0.903344000,1
0.903504000,0
0.903512000,1
0.903566000,0
0.903576000,1
0.903648000,0
0.903658000,1
0.903730000,0
0.903738000,1
0.903810000,0
0.903820000,1
0.903862000,0
0.903872000,1
0.903898000,0
0.903908000,1
0.903934000,0
0.903944000,1
0.903970000,0
0.903980000,1
0.904300000,0
0.904308000,1
0.904468000,0
0.904478000,1
0.904532000,0
0.904542000,1
0.904614000,0
0.904622000,1
0.904694000,0
0.904704000,1
0.904776000,0
0.904786000,1
0.904828000,0
0.904836000,1
0.904866000,0
0.904876000,1
0.904902000,0
0.904912000,1
0.904944000,0
0.904954000,1
0.905264000,0
0.905274000,1
0.905434000,0
0.905442000,1
0.905498000,0
0.905506000,1
0.905578000,0
0.905588000,1
0.905660000,0
0.905670000,1
0.905742000,0
0.905750000,1
0.905792000,0
0.905802000,1
0.905834000,0
0.905844000,1
0.905870000,0
0.905880000,1
0.905920000,0
0.905928000,1
0.906230000,0
0.906240000,1
0.906398000,0
0.906408000,1
0.906474000,0
0.906484000,1
0.906556000,0
0.906564000,1
0.906638000,0
0.906646000,1
0.906718000,0
0.906728000,1
0.906770000,0
0.906780000,1
0.906816000,0
0.906824000,1
0.906852000,0
0.906860000,1
0.906906000,0
0.906914000,1
0.907196000,0
0.907204000,1
0.907364000,0
0.907372000,1
0.907428000,0
0.907436000,1
0.907508000,0
0.907518000,1
0.907590000,0
0.907600000,1
0.907672000,0
0.907680000,1
0.907722000,0
0.907732000,1
0.907772000,0
